"﻿""Any""","Codi_Districte_baixa","Nom_Districte_baixa","Codi_Barri_baixa","Nom_Barri_baixa","Codi_Districte_alta","Nom_Districte_alta","Codi_Barri_alta","Nom_Barri_alta","Sexe","Nombre"
2019,1,"Ciutat Vella",1,"el Raval",1,"Ciutat Vella",1,"el Raval","Dona",889
2019,1,"Ciutat Vella",2,"el Barri Gòtic",1,"Ciutat Vella",1,"el Raval","Dona",128
2019,1,"Ciutat Vella",3,"la Barceloneta",1,"Ciutat Vella",1,"el Raval","Dona",30
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",1,"Ciutat Vella",1,"el Raval","Dona",80
2019,2,"Eixample",5,"el Fort Pienc",1,"Ciutat Vella",1,"el Raval","Dona",21
2019,2,"Eixample",6,"la Sagrada Família",1,"Ciutat Vella",1,"el Raval","Dona",43
2019,2,"Eixample",7,"la Dreta de l'Eixample",1,"Ciutat Vella",1,"el Raval","Dona",38
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1,"Ciutat Vella",1,"el Raval","Dona",59
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",1,"Ciutat Vella",1,"el Raval","Dona",48
2019,2,"Eixample",10,"Sant Antoni",1,"Ciutat Vella",1,"el Raval","Dona",118
2019,3,"Sants-Montjuïc",11,"el Poble Sec",1,"Ciutat Vella",1,"el Raval","Dona",159
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1,"Ciutat Vella",1,"el Raval","Dona",0
2019,3,"Sants-Montjuïc",13,"la Marina de Port",1,"Ciutat Vella",1,"el Raval","Dona",20
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla",1,"Ciutat Vella",1,"el Raval","Dona",10
2019,3,"Sants-Montjuïc",15,"Hostafrancs",1,"Ciutat Vella",1,"el Raval","Dona",24
2019,3,"Sants-Montjuïc",16,"la Bordeta",1,"Ciutat Vella",1,"el Raval","Dona",7
2019,3,"Sants-Montjuïc",17,"Sants - Badal",1,"Ciutat Vella",1,"el Raval","Dona",13
2019,3,"Sants-Montjuïc",18,"Sants",1,"Ciutat Vella",1,"el Raval","Dona",29
2019,4,"Les Corts",19,"les Corts",1,"Ciutat Vella",1,"el Raval","Dona",21
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon",1,"Ciutat Vella",1,"el Raval","Dona",7
2019,4,"Les Corts",21,"Pedralbes",1,"Ciutat Vella",1,"el Raval","Dona",5
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1,"Ciutat Vella",1,"el Raval","Dona",1
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià",1,"Ciutat Vella",1,"el Raval","Dona",5
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",1,"Ciutat Vella",1,"el Raval","Dona",4
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1,"Ciutat Vella",1,"el Raval","Dona",5
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1,"Ciutat Vella",1,"el Raval","Dona",22
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",1,"Ciutat Vella",1,"el Raval","Dona",7
2019,6,"Gràcia",28,"Vallcarca i els Penitents",1,"Ciutat Vella",1,"el Raval","Dona",11
2019,6,"Gràcia",29,"el Coll",1,"Ciutat Vella",1,"el Raval","Dona",4
2019,6,"Gràcia",30,"la Salut",1,"Ciutat Vella",1,"el Raval","Dona",3
2019,6,"Gràcia",31,"la Vila de Gràcia",1,"Ciutat Vella",1,"el Raval","Dona",38
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",1,"Ciutat Vella",1,"el Raval","Dona",26
2019,7,"Horta-Guinardó",33,"el Baix Guinardó",1,"Ciutat Vella",1,"el Raval","Dona",10
2019,7,"Horta-Guinardó",34,"Can Baró",1,"Ciutat Vella",1,"el Raval","Dona",2
2019,7,"Horta-Guinardó",35,"el Guinardó",1,"Ciutat Vella",1,"el Raval","Dona",9
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues",1,"Ciutat Vella",1,"el Raval","Dona",1
2019,7,"Horta-Guinardó",37,"el Carmel",1,"Ciutat Vella",1,"el Raval","Dona",4
2019,7,"Horta-Guinardó",38,"la Teixonera",1,"Ciutat Vella",1,"el Raval","Dona",2
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",1,"Ciutat Vella",1,"el Raval","Dona",3
2019,7,"Horta-Guinardó",40,"Montbau",1,"Ciutat Vella",1,"el Raval","Dona",1
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron",1,"Ciutat Vella",1,"el Raval","Dona",2
2019,7,"Horta-Guinardó",42,"la Clota",1,"Ciutat Vella",1,"el Raval","Dona",0
2019,7,"Horta-Guinardó",43,"Horta",1,"Ciutat Vella",1,"el Raval","Dona",7
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1,"Ciutat Vella",1,"el Raval","Dona",7
2019,8,"Nou Barris",45,"Porta",1,"Ciutat Vella",1,"el Raval","Dona",10
2019,8,"Nou Barris",46,"el Turó de la Peira",1,"Ciutat Vella",1,"el Raval","Dona",6
2019,8,"Nou Barris",47,"Can Peguera",1,"Ciutat Vella",1,"el Raval","Dona",1
2019,8,"Nou Barris",48,"la Guineueta",1,"Ciutat Vella",1,"el Raval","Dona",5
2019,8,"Nou Barris",49,"Canyelles",1,"Ciutat Vella",1,"el Raval","Dona",1
2019,8,"Nou Barris",50,"les Roquetes",1,"Ciutat Vella",1,"el Raval","Dona",4
2019,8,"Nou Barris",51,"Verdun",1,"Ciutat Vella",1,"el Raval","Dona",11
2019,8,"Nou Barris",52,"la Prosperitat",1,"Ciutat Vella",1,"el Raval","Dona",9
2019,8,"Nou Barris",53,"la Trinitat Nova",1,"Ciutat Vella",1,"el Raval","Dona",4
2019,8,"Nou Barris",54,"Torre Baró",1,"Ciutat Vella",1,"el Raval","Dona",0
2019,8,"Nou Barris",55,"Ciutat Meridiana",1,"Ciutat Vella",1,"el Raval","Dona",2
